CA City,Applications,lat,lng
DEL MAR,2963,32.9633,-117.2627
STANFORD,2950,37.4252,-122.1674
San Juan Capistrano,2931,33.5009,-117.6544
ESCONDIDO,2925,33.1347,-117.0722
Piedmont,2918,37.8226,-122.23
DANVILLE,2908,37.8121,-121.9698
MORGAN HILL,2899,37.1326,-121.6417
Monte Sereno,2889,37.2404,-121.9882
REDONDO BEACH,2887,33.8574,-118.3766
SANTA ANA,2875,33.7366,-117.8819
Calabasas,2830,34.1375,-118.6689
PORTOLA VALLEY,2815,37.3713,-122.2203
Concord,2704,37.9722,-122.0016
SOUTH SAN FRANCISCO,2697,37.6536,-122.4197
Altadena,2693,34.1928,-118.1345
Aptos,2639,36.9912,-121.8934
LAGUNA NIGUEL,2632,33.5275,-117.705
Daly City,2595,37.6862,-122.4685
ANAHEIM,2564,33.839,-117.8572
Roseville,2546,38.7703,-121.3196
POWAY,2543,32.9871,-117.0201
South Pasadena,2522,34.1103,-118.1573
WALNUT CREEK,2509,37.9024,-122.0398
Tracy,2476,37.7269,-121.4522
Ladera Ranch,2448,33.5491,-117.6416
GOLETA,2439,34.436,-119.8596
Dana Point,2398,33.4733,-117.6968
Fountain Valley,2371,33.7105,-117.9514
Malibu,2371,34.0368,-118.7845
GLENDALE,2354,34.1818,-118.2468
COSTA MESA,2322,33.6667,-117.9135
SACRAMENTO,2295,38.5667,-121.4683
WOODSIDE,2287,37.4222,-122.2591
FULLERTON,2281,33.8841,-117.9279
Agoura Hills,2231,34.151,-118.7608
Chula Vista,2222,32.6281,-117.0145
Alamo,2173,37.8546,-122.013
HAYWARD,2160,37.6328,-122.0772
BURLINGAME,2160,37.586,-122.3669
San Luis Obispo,2136,35.2669,-120.6691
Cerritos,2130,33.8677,-118.0686
Oak Park,2111,34.1849,-118.7669
Santa Clarita,2098,34.4175,-118.4964
Moorpark,2070,34.2855,-118.877
El Segundo,2056,33.9169,-118.4021
Fresno,2048,36.7831,-119.7941
UNION CITY,2045,37.603,-122.0187
Pleasant Hill,2042,37.954,-122.0759
ORANGE,2014,33.8038,-117.8218
Murrieta,2013,33.572,-117.1909
Diamond Bar,2001,33.9991,-117.8161
SIMI VALLEY,1994,34.2663,-118.749
Bakersfield,1993,35.3529,-119.0359
ALAMEDA,1980,37.767,-122.2672
ATHERTON,1978,37.4539,-122.2032
San Marino,1964,34.1224,-118.1132
BEVERLY HILLS,1954,34.0786,-118.4021
RIVERSIDE,1946,33.9381,-117.3948
YORBA LINDA,1941,33.889,-117.7714
Brisbane,1906,37.6898,-122.402
TUSTIN,1838,33.7309,-117.8106
Ramona,1822,33.0474,-116.8767
CAMARILLO,1786,34.223,-119.0322
MANHATTAN BEACH,1785,33.8895,-118.3972
Monrovia,1784,34.165,-117.9921
FOLSOM,1779,38.6668,-121.1422
HUNTINGTON BEACH,1751,33.696,-118.0025
Tiburon,1750,37.8854,-122.4637
El Cajon,1746,32.8017,-116.9605
SAN RAFAEL,1746,37.9905,-122.5222
VISTA,1729,33.1896,-117.2386
NEWARK,1728,37.5204,-122.0312
Chino Hills,1688,33.9508,-117.7253
Walnut,1666,34.0334,-117.8593
MODESTO,1654,37.6374,-121.0028
OCEANSIDE,1653,33.2247,-117.3083
ARCADIA,1646,34.1342,-118.0373
Oxnard,1642,34.1963,-119.1815
Fallbrook,1634,33.3693,-117.2259
Garden Grove,1631,33.7787,-117.9601
Hermosa Beach,1625,33.8654,-118.3966
Modesto,1620,37.6374,-121.0028
HILLSBOROUGH,1593,37.5573,-122.3587
Rancho Cucamonga,1578,34.1248,-117.5666
LAKE FOREST,1562,33.6606,-117.6712
LAGUNA HILLS,1555,33.592,-117.6992
Boulder Creek,1527,37.1341,-122.1271
Hollister,1527,36.8563,-121.3981
Kensington,1522,37.9084,-122.2805
SAN CLEMENTE,1493,33.4498,-117.6103
East Palo Alto,1486,37.4671,-122.1352
LAGUNA BEACH,1473,33.5448,-117.7612
La Mesa,1456,32.7703,-117.0204
Marina Del Rey,1439,33.9765,-118.4486
San Gabriel,1436,34.0948,-118.099
Brea,1414,33.9254,-117.8656
Monterey Park,1403,34.0497,-118.1326
Santee,1398,32.8554,-116.9851
FOUNTAIN VALLEY,1390,33.7105,-117.9514
EL CERRITO,1387,37.9197,-122.3025
PACIFICA,1386,37.6112,-122.4781
Napa,1385,38.2976,-122.3011
ORINDA,1382,37.8808,-122.1791
SOLANA BEACH,1363,32.9942,-117.2575
Alhambra,1358,34.084,-118.1355
Claremont,1345,34.1259,-117.7153
Stevenson Ranch,1344,34.3894,-118.5885
LAFAYETTE,1344,37.8919,-122.1189
CONCORD,1337,37.9722,-122.0016
RICHMOND,1324,37.9477,-122.339
RANCHO SANTA FE,1306,33.024,-117.1992
Sausalito,1294,37.858,-122.4932
DUBLIN,1290,37.7161,-121.8963
SAN MARCOS,1274,33.135,-117.1744
Marina del Rey,1267,33.9765,-118.4486
CULVER CITY,1250,34.0058,-118.3968
Placentia,1244,33.8807,-117.8553
SCOTTS VALLEY,1223,37.0555,-122.0118
Cypress,1220,33.8171,-118.0386
MALIBU,1217,34.0368,-118.7845
El Granada,1216,37.5134,-122.466
Salinas,1212,36.6884,-121.6317
SAN LEANDRO,1207,37.7071,-122.1601
ALTADENA,1179,34.1928,-118.1345
Hercules,1176,38.0064,-122.2564
Glendora,1175,34.1449,-117.8468
NOVATO,1162,38.092,-122.5576
MORAGA,1158,37.8439,-122.1225
West Hollywood,1157,34.0882,-118.3718
Martinez,1152,37.9985,-122.116
CASTRO VALLEY,1151,37.7091,-122.0631
Elk Grove,1149,38.416,-121.3842
Soquel,1148,36.9978,-121.9482
MILL VALLEY,1139,37.9085,-122.5421
West Covina,1136,34.0555,-117.9112
San Anselmo,1134,37.9821,-122.5699
BURBANK,1134,34.1879,-118.3235
Upland,1129,34.1178,-117.6603
Watsonville,1126,36.9206,-121.7706
Rocklin,1106,38.8075,-121.2488
Granite Bay,1098,38.7601,-121.1714
SALINAS,1097,36.6884,-121.6317
Windsor,1096,38.5417,-122.8086
ALBANY,1092,37.8898,-122.3018
CORONA,1088,33.8616,-117.5649
Brentwood,1084,37.9355,-121.7191
Ridgecrest,1080,35.6308,-117.6621
Westminster,1076,33.7523,-117.9938
Coto de Caza,1071,33.5961,-117.5862
HALF MOON BAY,1071,37.4688,-122.4383
Hacienda Heights,1070,33.997,-117.9728
Fairfield,1069,38.2592,-122.0324
RIDGECREST,1069,35.6308,-117.6621
FRESNO,1067,36.7831,-119.7941
Chino,1065,33.9836,-117.6654
APTOS,1058,36.9912,-121.8934
GARDEN GROVE,1051,33.7787,-117.9601
Vacaville,1043,38.359,-121.968
Moss Beach,1042,37.5184,-122.5036
Whittier,1020,33.9678,-118.0188
EMERYVILLE,1020,37.8382,-122.2932
Sebastopol,1015,38.4001,-122.8276
Duarte,1008,34.161,-117.9504
MOORPARK,1000,34.2855,-118.877
GILROY,999,37.0047,-121.5855
BAKERSFIELD,992,35.3529,-119.0359
Castaic,989,34.4818,-118.6317
Grass Valley,985,39.2237,-121.0521
BREA,983,33.9254,-117.8656
