CA City,Applications,lat,lng
Ripon,150,37.7417,-121.131
Oakdale,149,37.7616,-120.847
Cloverdale,148,38.7961,-123.0151
Mammoth Lakes,147,37.6273,-118.99
Lemon Grove,146,32.7331,-117.0344
Lake Arrowhead,146,34.2531,-117.1945
St. Helena,145,38.5063,-122.4682
PORT HUENEME,145,34.1617,-119.2036
Nipomo,144,35.0323,-120.4991
ROLLING HILLS ESTATES,144,33.7783,-118.3509
Kingsburg,144,36.5245,-119.5602
Marina,143,36.6812,-121.7895
YUCAIPA,143,34.0336,-117.0429
Santa Paula,142,34.3521,-119.0698
ROSEMEAD,141,34.0689,-118.0823
WEST SACRAMENTO,141,38.5557,-121.5504
Irwindale,141,34.1121,-117.9636
PARADISE,140,39.7558,-121.6063
SONORA,139,37.9819,-120.3828
LE GRAND,138,37.2288,-120.254
UKIAH,137,39.1463,-123.2105
La Selva Beach,136,36.9276,-121.8445
MADERA,135,36.9631,-120.0782
RANCHO MIRAGE,135,33.7634,-116.4271
RIALTO,134,34.1174,-117.3894
Laguna Woods,133,33.6098,-117.7299
HIGHLAND,133,34.1113,-117.1654
BYRON,132,37.8756,-121.642
Forestville,132,38.4825,-122.8899
Lathrop,131,37.809,-121.3131
MERCED,131,37.3057,-120.4778
GOLD RIVER,131,38.6268,-121.2488
Indio,131,33.7346,-116.2346
Templeton,131,35.556,-120.7182
Paramount,129,33.8976,-118.1652
Bell Canyon,129,34.2081,-118.6876
SOLVANG,128,34.5936,-120.1401
Porterville,128,36.0644,-119.0338
Las Flores,128,33.5838,-117.6235
OROVILLE,127,39.4999,-121.5634
LOS OSOS,125,35.3068,-120.8249
Newcastle,125,38.8677,-121.1318
APPLE VALLEY,124,34.5328,-117.2104
Coarsegold,122,37.2526,-119.7
Oakley,121,37.9929,-121.6951
SUNOL,121,37.5894,-121.8854
Grand Terrace,120,34.0312,-117.3132
McKinleyville,120,40.9488,-124.0857
Prunedale,120,36.8064,-121.6555
WINTERS,120,38.532,-121.9781
TEHACHAPI,120,35.1274,-118.4749
KENWOOD,119,38.4153,-122.5387
Fillmore,118,34.3989,-118.9181
RODEO,118,38.0368,-122.2526
Newman,117,37.3157,-121.0211
SAN PABLO,117,37.9628,-122.3425
San Fernando,116,34.2886,-118.4363
Rialto,115,34.1174,-117.3894
Penn Valley,115,39.1954,-121.1942
Corralitos,115,36.9941,-121.7892
San Juan Bautista,114,36.8455,-121.538
STANTON,114,33.8002,-117.9935
Hornitos,113,37.5034,-120.242
San Jacinto,112,33.797,-116.9916
Oroville,112,39.4999,-121.5634
BELVEDERE,112,37.8735,-122.4662
Penryn,111,38.8478,-121.1699
VICTORVILLE,111,34.5277,-117.3536
OAKDALE,110,37.7616,-120.847
Bradbury,109,34.1536,-117.9684
SIGNAL HILL,109,33.8029,-118.1681
NIPOMO,107,35.0323,-120.4991
Mojave,107,35.0139,-118.1895
SAN LORENZO,106,37.6737,-122.1349
Hidden Hills,105,34.1637,-118.6612
Industry,104,34.0175,-117.9267
Montclair,104,34.0714,-117.698
HESPERIA,103,34.3975,-117.3147
Pollock Pines,102,38.7564,-120.5904
Vernon,101,34.0019,-118.2106
Morro Bay,99,35.3681,-120.8481
Crestline,99,34.2486,-117.289
COLTON,99,34.0538,-117.3254
NEWCASTLE,98,38.8677,-121.1318
Lockeford,96,38.1509,-121.1554
PERRIS,96,33.7899,-117.2233
REEDLEY,95,36.5987,-119.4473
TRUCKEE,95,39.3455,-120.1848
LEMON GROVE,94,32.7331,-117.0344
LAKE ARROWHEAD,94,34.2531,-117.1945
Desert Hot Springs,94,33.9551,-116.543
Diablo,94,37.8408,-121.9565
Meadow Vista,94,39.003,-121.0304
Avila Beach,94,35.1969,-120.7191
OAKLEY,92,37.9929,-121.6951
PARAMOUNT,92,33.8976,-118.1652
AROMAS,91,36.8771,-121.6404
Colma,91,37.6767,-122.4526
Wrightwood,90,34.3495,-117.6299
PENN VALLEY,90,39.1954,-121.1942
Arcata,90,40.8615,-124.0757
Galt,89,38.2693,-121.3
FILLMORE,89,34.3989,-118.9181
South El Monte,89,34.0493,-118.0484
COMPTON,89,33.893,-118.2275
Paradise,88,39.7558,-121.6063
BUELLTON,88,34.6152,-120.1943
PICO RIVERA,87,33.9902,-118.0888
Los Banos,87,37.063,-120.8406
Nicasio,87,38.0605,-122.7008
SANTA PAULA,87,34.3521,-119.0698
EUREKA,86,40.7942,-124.1568
Colfax,86,39.0938,-120.9533
INDIO,86,33.7346,-116.2346
BONSALL,85,33.2761,-117.1942
Waterloo,85,38.0365,-121.1846
Hanford,85,36.3274,-119.6549
Santa Margarita,85,35.3893,-120.6084
SANTA FE SPRINGS,85,33.933,-118.0625
South Gate,85,33.9448,-118.1926
EL CENTRO,84,32.7867,-115.5586
DIXON,84,38.4468,-121.8249
Palo alto,84,37.3913,-122.1468
Bodega Bay,84,38.325,-123.0308
Cathedral City,84,33.8363,-116.4642
Mountain view,84,37.4,-122.0796
CROCKETT,83,38.0519,-122.2201
PISMO BEACH,83,35.1484,-120.6492
Artesia,82,33.8676,-118.0806
ACTON,82,34.4956,-118.1857
Bolinas,82,37.9177,-122.7095
Bonny Doon,81,37.0435,-122.1369
Mission Hills,81,34.6861,-120.4404
ST. HELENA,81,38.5063,-122.4682
LA SELVA BEACH,80,36.9276,-121.8445
WRIGHTWOOD,80,34.3495,-117.6299
BRADBURY,79,34.1536,-117.9684
National City,79,32.6654,-117.0983
SOUTH GATE,79,33.9448,-118.1926
Rosamond,78,34.8658,-118.2154
Bay Point,78,38.0329,-121.9614
Cambria,77,35.5523,-121.0847
Banning,77,33.946,-116.8992
LA PUENTE,77,34.0323,-117.9533
CERES,76,37.5953,-120.9625
Frazier Park,76,34.8123,-118.9542
RIPON,76,37.7417,-121.131
Indian Wells,76,33.7036,-116.3396
Escalon,76,37.7912,-120.9982
SAN FERNANDO,76,34.2886,-118.4363
Reedley,75,36.5987,-119.4473
Suisun City,75,38.2473,-122.009
Atwater,75,37.3543,-120.5981
Middletown,74,38.7518,-122.6221
Occidental,74,38.4004,-122.9349
Yucca Valley,73,34.1234,-116.4216
MISSION HILLS,71,34.6861,-120.4404
Geyserville,70,38.7173,-122.9034
CANYON LAKE,70,33.6885,-117.2621
Willits,70,39.4047,-123.3494
Quartz Hill,70,34.6527,-118.2163
Kenwood,69,38.4153,-122.5387
Oak Hills,69,34.3912,-117.4125
Tulare,69,36.1996,-119.34
Cazadero,69,38.5265,-123.0978
Crescent City,69,41.7727,-124.1902
Julian,68,33.0735,-116.5889
Rio Vista,68,38.1763,-121.7025
MONTCLAIR,68,34.0714,-117.698
LA QUINTA,68,33.6536,-116.2785
Mather,67,38.5489,-121.2832
KINGSBURG,66,36.5245,-119.5602
TEMPLETON,65,35.556,-120.7182
Rodeo,64,38.0368,-122.2526
Pescadero,64,37.2507,-122.3725
Sanger,64,36.699,-119.5575
OAK VIEW,63,34.399,-119.2976
ANDERSON,63,40.4497,-122.295
Acampo,63,38.1735,-121.2798
PENNGROVE,62,38.3005,-122.6707
Salida,62,37.7145,-121.087
YUCCA VALLEY,61,34.1234,-116.4216
Clio,61,39.7487,-120.5725
Glen Ellen,60,38.3564,-122.5412
WILLITS,60,39.4047,-123.3494
Murphys,60,38.1447,-120.4348
Red Bluff,59,40.1735,-122.2413
BELL CANYON,58,34.2081,-118.6876
Pine Grove,58,38.4074,-120.6606
SANGER,58,36.699,-119.5575
San diego,57,32.8312,-117.1225
LINCOLN,57,38.8759,-121.2916
Marysville,57,39.1518,-121.5835
Big Bear City,56,34.2536,-116.7903
TULARE,56,36.1996,-119.34
Compton,56,33.893,-118.2275
Wilton,56,38.413,-121.2127
PORTERVILLE,55,36.0644,-119.0338
QUARTZ HILL,55,34.6527,-118.2163
Los Olivos,55,34.6647,-120.118
GRAND TERRACE,55,34.0312,-117.3132
Rancho Murieta,55,38.5085,-121.0716
TRINIDAD,55,41.0589,-124.1434
Isla Vista,54,34.4144,-119.8581
NATIONAL CITY,54,32.6654,-117.0983
Guerneville,54,38.5137,-122.9894
CAMINO,54,38.7412,-120.6815
FORESTVILLE,54,38.4825,-122.8899
Calimesa,53,33.9874,-117.0542
MAMMOTH LAKES,53,37.6273,-118.99
COARSEGOLD,53,37.2526,-119.7
Big Bear Lake,53,34.2429,-116.8951
Ceres,53,37.5953,-120.9625
Copperopolis,53,37.9365,-120.6277
Oakville,53,38.4384,-122.4067
Orland,52,39.7461,-122.1856
BANNING,51,33.946,-116.8992
Phelan,51,34.4398,-117.5248
CATHEDRAL CITY,51,33.8363,-116.4642
Lake Hughes,50,34.6833,-118.4588
IMPERIAL BEACH,50,32.5689,-117.1184
Orcutt,50,34.8668,-120.4269
DIABLO,50,37.8408,-121.9565
Oak View,49,34.399,-119.2976
ARTESIA,49,33.8676,-118.0806
CAMBRIA,49,35.5523,-121.0847
HANFORD,49,36.3274,-119.6549
Cayucos,49,35.4375,-120.8847
Trinidad,49,41.0589,-124.1434
MORRO BAY,49,35.3681,-120.8481
Lindsay,49,36.2082,-119.0897
GROVER BEACH,48,35.1204,-120.6199
INDUSTRY,48,34.0175,-117.9267
INYOKERN,48,35.6546,-117.8212
MARINA,48,36.6812,-121.7895
HIDDEN HILLS,48,34.1637,-118.6612
Bloomington,48,34.0601,-117.4013
BIG BEAR CITY,48,34.2536,-116.7903
YOUNTVILLE,47,38.3963,-122.3671
Fortuna,47,40.5862,-124.1419
AGUA DULCE,47,34.5044,-118.316
Redwood city,47,37.5026,-122.2252
El Centro,47,32.7867,-115.5586
SOUTH EL MONTE,46,34.0493,-118.0484
ANTELOPE,46,38.7153,-121.361
Brookdale,46,37.1058,-122.1106
Fieldbrook,46,40.9722,-124.025
GEYSERVILLE,46,38.7173,-122.9034
PACHECO,46,37.9878,-122.07
CORRALITOS,45,36.9941,-121.7892
PATTERSON,45,37.4758,-121.1535
OAKHURST,45,37.3342,-119.6483
Byron,45,37.8756,-121.642
CRESTLINE,45,34.2486,-117.289
ESCALON,45,37.7912,-120.9982
POLLOCK PINES,45,38.7564,-120.5904
PHELAN,44,34.4398,-117.5248
FORT BRAGG,44,39.4399,-123.8013
Volcano,44,38.4456,-120.6306
VALINDA,44,34.0401,-117.93
NICASIO,44,38.0605,-122.7008
Freedom,43,36.9402,-121.7953
COPPEROPOLIS,43,37.9365,-120.6277
Exeter,43,36.294,-119.1459
Arnold,43,38.2423,-120.3547
San jose,43,37.3019,-121.8486
LYNWOOD,43,33.924,-118.2017
Woodacre,43,38.0052,-122.6384
COLMA,43,37.6767,-122.4526
MIDDLETOWN,42,38.7518,-122.6221
SUMMERLAND,42,34.4255,-119.5893
Pacheco,42,37.9878,-122.07
ARCATA,42,40.8615,-124.0757
WILDOMAR,42,33.6173,-117.2582
WOODACRE,42,38.0052,-122.6384
Fort Bragg,42,39.4399,-123.8013
Woodbridge,42,38.1692,-121.3113
Davenport,42,37.0176,-122.1882
Lakeport,42,39.0392,-122.9218
DINUBA,42,36.5453,-119.3987
Taft,42,35.1267,-119.4242
Mount Shasta,41,41.3206,-122.315
DENAIR,41,37.5262,-120.7994
MUIR BEACH,41,37.8654,-122.5858
Twain Harte,41,38.0384,-120.234
Jackson,41,38.3485,-120.7728
Bell Gardens,41,33.9663,-118.155
ROSSMOOR,40,33.7886,-118.0803
San DIego,40,32.8312,-117.1225
SEASIDE,40,36.6224,-121.8191
MENIFEE,40,33.6909,-117.1849
Descanso,39,32.8696,-116.6279
Soulsbyville,39,37.9917,-120.2617
Huntington Park,39,33.98,-118.2167
Groveland,39,37.8325,-120.2394
Sierra City,39,39.574,-120.6297
Bishop,38,37.3665,-118.3958
Quincy,38,39.931,-120.9548
Diamond Springs,38,38.692,-120.8391
Kelseyville,38,38.9704,-122.8327
Anderson,38,40.4497,-122.295
Mountain VIew,37,37.4,-122.0796
Riverbank,37,37.7268,-120.9402
Bodega,37,38.3488,-122.9712
Three Rivers,37,36.4319,-118.8806
Shafter,36,35.4794,-119.2013
Mariposa,36,37.4873,-119.9682
Valley Springs,36,38.1837,-120.815
Portola,36,39.8241,-120.4733
BERMUDA DUNES,36,33.7434,-116.2874
North Highlands,36,38.6713,-121.3721
Magalia,35,39.8228,-121.6078
Joshua Tree,35,34.1236,-116.3128
SUISUN CITY,35,38.2473,-122.009
GALT,35,38.2693,-121.3
SELMA,35,36.5715,-119.6143
Gustine,35,37.2545,-120.9949
Castroville,34,36.765,-121.7535
DURHAM,34,39.6232,-121.7875
MARIPOSA,34,37.4873,-119.9682
CASTROVILLE,34,36.765,-121.7535
DISCOVERY BAY,34,37.9071,-121.6076
Yountville,34,38.3963,-122.3671
Hughson,33,37.602,-120.866
MEADOW VISTA,33,39.003,-121.0304
Green Valley,33,38.2607,-122.1622
Los Alamos,33,34.7375,-120.2783
Carmel-by-the-Sea,33,36.5528,-121.9222
RUNNING SPRINGS,33,34.2104,-117.1147
JULIAN,33,33.0735,-116.5889
INDIAN WELLS,33,33.7036,-116.3396
Plymouth,33,38.4776,-120.8584
Camino,32,38.7412,-120.6815
Woodlake,32,36.4124,-119.0999
Jurupa Valley,32,34.001,-117.4705
Pala,32,33.3617,-117.0696
RED BLUFF,32,40.1735,-122.2413
Bermuda Dunes,32,33.7434,-116.2874
Adelanto,32,34.5815,-117.4397
Lynwood,32,33.924,-118.2017
MAGALIA,32,39.8228,-121.6078
SANTA MARGARITA,32,35.3893,-120.6084
RIVERBANK,31,37.7268,-120.9402
AMERICAN CANYON,31,38.1796,-122.2583
Sutter Creek,31,38.3827,-120.8107
BOLINAS,31,37.9177,-122.7095
BISHOP,31,37.3665,-118.3958
LA HABRA HEIGHTS,31,33.9602,-117.951
MOUNTAIN HOUSE,31,37.774,-121.5452
GUERNEVILLE,30,38.5137,-122.9894
CALIMESA,30,33.9874,-117.0542
Esparto,30,38.6934,-122.0241
RIO LINDA,30,38.6876,-121.4418
COTTONWOOD,30,40.3904,-122.2861
Imperial,30,32.839,-115.5719
Coachella,30,33.6905,-116.143
Inyokern,30,35.6546,-117.8212
Soda Springs,30,39.3248,-120.3784
ORCUTT,30,34.8668,-120.4269
Oakhurst,30,37.3342,-119.6483
MCKINLEYVILLE,30,40.9488,-124.0857
Redwood CIty,30,37.5026,-122.2252
Brawley,30,32.9783,-115.5287
Lemoore,30,36.2949,-119.7983
Niland,29,33.2387,-115.5146
EXETER,29,36.294,-119.1459
MURPHYS,29,38.1447,-120.4348
REDWOOD VALLEY,29,39.269,-123.2023
Moss Landing,28,36.8019,-121.7872
ORLAND,28,39.7461,-122.1856
BIG BEAR LAKE,28,34.2429,-116.8951
WESTWOOD,28,40.3049,-121.0045
MARYSVILLE,28,39.1518,-121.5835
Muir Beach,28,37.8654,-122.5858
Yreka,28,41.7292,-122.6312
Manton,28,40.4202,-121.854
WILTON,28,38.413,-121.2127
Sierra Village,28,38.0768,-120.1624
JACKSON,28,38.3485,-120.7728
Crockett,28,38.0519,-122.2201
CALISTOGA,28,38.5818,-122.5824
MIDWAY CITY,27,33.7451,-117.9849
Menlo park,27,37.4686,-122.1672
Rio Linda,27,38.6876,-121.4418
Auberry,27,37.0755,-119.4901
EASTVALE,27,33.9617,-117.5802
FOWLER,27,36.6243,-119.6737
Linden,27,38.0186,-121.0994
VERNON,27,34.0019,-118.2106
Los angeles,27,34.1139,-118.4068
YREKA,27,41.7292,-122.6312
CLOVERDALE,27,38.7961,-123.0151
LOS ALAMOS,27,34.7375,-120.2783
THREE RIVERS,27,36.4319,-118.8806
DIAMOND SPRINGS,27,38.692,-120.8391
Kernville,26,35.7531,-118.4321
Cherry Valley,26,33.9797,-116.9694
GEORGETOWN,26,38.9112,-120.8356
Fall River Mills,26,41.0069,-121.4401
LAS FLORES,26,33.5838,-117.6235
Wofford Heights,26,35.7127,-118.4732
LOS OLIVOS,26,34.6647,-120.118
ROSAMOND,25,34.8658,-118.2154
Georgetown,25,38.9112,-120.8356
Mentone,25,34.0609,-117.1108
Palo Cedro,25,40.5511,-122.2363
HUNTINGTON PARK,25,33.98,-118.2167
Inverness,25,38.082,-122.8471
PORTOLA,25,39.8241,-120.4733
IRWINDALE,25,34.1121,-117.9636
COMMERCE,25,33.9963,-118.1519
Durham,25,39.6232,-121.7875
PESCADERO,25,37.2507,-122.3725
SAN JACINTO,25,33.797,-116.9916
SOUTH LAKE TAHOE,25,38.9393,-119.9828
Midway City,25,33.7451,-117.9849
JAMESTOWN,25,37.9574,-120.411
BARSTOW,24,34.8661,-117.0472
SAN JUAN BAUTISTA,24,36.8455,-121.538
ISLA VISTA,24,34.4144,-119.8581
Cottonwood,24,40.3904,-122.2861
Westwood,24,40.3049,-121.0045
BEAUMONT,24,33.9076,-116.9766
Stinson Beach,24,37.9051,-122.6456
Foresthill,24,39.0053,-120.8314
REDWAY,24,40.1209,-123.822
Lucerne Valley,23,34.4427,-116.9021
Santa clara,23,37.3645,-121.968
LaFayette,23,37.8919,-122.1189
Valinda,23,34.0401,-117.93
BODEGA BAY,23,38.325,-123.0308
PLYMOUTH,23,38.4776,-120.8584
Selma,23,36.5715,-119.6143
Denair,23,37.5262,-120.7994
NORTH HIGHLANDS,23,38.6713,-121.3721
Albion,23,39.2256,-123.7564
Jamestown,23,37.9574,-120.411
MOJAVE,23,35.0139,-118.1895
WINCHESTER,22,33.7146,-117.0775
BRAWLEY,22,32.9783,-115.5287
Waterford,22,37.6429,-120.7553
LATHROP,22,37.809,-121.3131
RIO VISTA,22,38.1763,-121.7025
Redwood Valley,22,39.269,-123.2023
TAFT,22,35.1267,-119.4242
sunnyvale,21,37.3836,-122.0256
IONE,21,38.3613,-120.9422
SAN ANDREAS,21,38.1911,-120.6763
ACAMPO,21,38.1735,-121.2798
Corning,21,39.9282,-122.182
NORTH TUSTIN,21,33.7644,-117.7945
SALIDA,21,37.7145,-121.087
Kings Beach,21,39.249,-120.0201
PRUNEDALE,21,36.8064,-121.6555
Running Springs,21,34.2104,-117.1147
STINSON BEACH,21,37.9051,-122.6456
Aguanga,20,33.4522,-116.8555
LEONA VALLEY,20,34.6147,-118.299
GLEN ELLEN,20,38.3564,-122.5412
LAKE HUGHES,20,34.6833,-118.4588
RANCHO MURIETA,20,38.5085,-121.0716
LOCKEFORD,20,38.1509,-121.1554
PINE GROVE,20,38.4074,-120.6606
LAKE SAN MARCOS,20,33.1196,-117.2088
GONZALES,20,36.506,-121.4429
Point Reyes Station,20,38.0847,-122.8093
California City,20,35.1578,-117.8721
OCCIDENTAL,20,38.4004,-122.9349
Greenfield,20,36.3232,-121.2451
Palo ALto,19,37.3913,-122.1468
Cold Springs,19,38.7468,-120.8761
san jose,19,37.3019,-121.8486
Weed,19,41.4128,-122.3816
DELANO,19,35.767,-119.2637
FRAZIER PARK,19,34.8123,-118.9542
Hidden Valley Lake,19,38.8003,-122.5505
TWAIN HARTE,19,38.0384,-120.234
Kerman,19,36.7249,-120.0625
Loma Mar,19,37.2658,-122.3007
NEWMAN,19,37.3157,-121.0211
LOS BANOS,19,37.063,-120.8406
Dinuba,19,36.5453,-119.3987
PALO CEDRO,19,40.5511,-122.2363
Huntington beach,19,33.696,-118.0025
Shingletown,19,40.5035,-121.86
FORTUNA,19,40.5862,-124.1419
Cobb,19,38.8356,-122.723
Calexico,19,32.6849,-115.4944
Bella Vista,19,40.6502,-122.245
CARNELIAN BAY,19,39.2346,-120.0767
WALNUT GROVE,19,38.2478,-121.528
Homeland,19,33.7459,-117.1132
Mokelumne Hill,19,38.3057,-120.7061
Pine Mountain Club,19,34.8446,-119.1669
COLFAX,18,39.0938,-120.9533
Springville,18,36.1168,-118.8345
Winton,18,37.3854,-120.6173
LEMOORE,18,36.2949,-119.7983
KELSEYVILLE,18,38.9704,-122.8327
San Geronimo,18,38.0068,-122.6634
HUGHSON,18,37.602,-120.866
Nuevo,18,33.8011,-117.1415
LINDSAY,18,36.2082,-119.0897
FORESTHILL,18,39.0053,-120.8314
Chowchilla,18,37.1095,-120.2349
Mendocino,18,39.311,-123.7908
PENRYN,18,38.8478,-121.1699
Foster city,18,37.5553,-122.2659
Valley Ford,18,38.3246,-122.9148
BETHEL ISLAND,18,38.0288,-121.6404
Pioneer,18,38.4354,-120.5848
ATWATER,18,37.3543,-120.5981
VALLEY SPRINGS,18,38.1837,-120.815
LAKE ISABELLA,17,35.6378,-118.4819
CHUALAR,17,36.5711,-121.5103
Ione,17,38.3613,-120.9422
BROOKDALE,17,37.1058,-122.1106
BONNY DOON,17,37.0435,-122.1369
Thermal,17,33.6262,-116.1308
DESCANSO,17,32.8696,-116.6279
GRATON,17,38.4376,-122.866
SUTTER CREEK,17,38.3827,-120.8107
Union city,17,37.603,-122.0187
ANGWIN,17,38.5776,-122.4513
June Lake,17,37.7677,-119.1022
Walnut Grove,17,38.2478,-121.528
London,16,36.481,-119.444
Little River,16,39.2703,-123.7817
JENNER,16,38.4511,-123.1203
King City,16,36.2166,-121.133
NUEVO,16,33.8011,-117.1415
SunnyVale,16,37.3836,-122.0256
Rainbow,16,33.4098,-117.1395
CORNING,16,39.9282,-122.182
THERMAL,16,33.6262,-116.1308
LAKEPORT,16,39.0392,-122.9218
Hawaiian Gardens,16,33.8303,-118.0728
CLARKSBURG,16,38.4193,-121.5416
DAVENPORT,16,37.0176,-122.1882
ADELANTO,16,34.5815,-117.4397
French Camp,16,37.8802,-121.2803
HAWAIIAN GARDENS,16,33.8303,-118.0728
Littlerock,16,34.5232,-117.9809
SPRINGVILLE,16,36.1168,-118.8345
Del Aire,15,33.9168,-118.3693
Bethel Island,15,38.0288,-121.6404
Pine Valley,15,32.8415,-116.5107
Leona Valley,15,34.6147,-118.299
Corcoran,15,36.0839,-119.561
FREEDOM,15,36.9402,-121.7953
ANZA,15,33.5679,-116.6967
Lucerne,15,39.0697,-122.776
BELL,15,33.9801,-118.1798
Fowler,15,36.6243,-119.6737
Tres Pinos,15,36.7904,-121.3105
Rio Oso,15,38.9518,-121.531
Barstow,15,34.8661,-117.0472
Blackhawk,15,37.816,-121.9071
Romoland,15,33.7648,-117.1572
Clearlake,15,38.959,-122.633
CAYUCOS,14,35.4375,-120.8847
Los altos,14,37.3685,-122.0966
Oceano,14,35.1019,-120.609
KING CITY,14,36.2166,-121.133
GROVELAND,14,37.8325,-120.2394
San francisco,14,37.7562,-122.443
Lakehead,14,40.9007,-122.3924
Twentynine Palms,14,34.1478,-116.0659
Susanville,14,40.4205,-120.6129
Walnut Park,14,33.9683,-118.222
Rough and Ready,14,39.234,-121.1381
LINDEN,14,38.0186,-121.0994
Thousand Palms,14,33.815,-116.3545
HOLTVILLE,14,32.813,-115.378
OAK HILLS,14,34.3912,-117.4125
Campo,14,32.6394,-116.4745
SHAFTER,14,35.4794,-119.2013
LOMA RICA,14,39.3204,-121.4038
Chester,14,40.3017,-121.2339
CALEXICO,14,32.6849,-115.4944
BAY POINT,14,38.0329,-121.9614
Cudahy,13,33.9631,-118.183
SUSANVILLE,13,40.4205,-120.6129
Plumas Lake,13,38.9924,-121.558
Buena Vista,13,38.2974,-120.9179
Goodyears Bar,13,39.5458,-120.8881
Livingston,13,37.3875,-120.7248
Angwin,13,38.5776,-122.4513
SANTA ROSA VALLEY,13,34.2453,-118.9023
Lake Sherwood,13,34.1339,-118.8804
ORANGE COVE,13,36.6211,-119.3188
Keene,13,35.233,-118.6103
Elverta,13,38.7185,-121.4455
irvine,12,33.6772,-117.7738
Wasco,12,35.5938,-119.3671
San mateo,12,37.5521,-122.3122
CRESCENT CITY,12,41.7727,-124.1902
Morongo Valley,12,34.0724,-116.5627
MONTAGUE,12,41.7276,-122.5304
Mountain Ranch,12,38.2509,-120.5119
CHESTER,12,40.3017,-121.2339
Avalon,12,33.3342,-118.3315
Shasta Lake,12,40.679,-122.3775
Sutter,12,39.1556,-121.7492
Holtville,12,32.813,-115.378
ALBION,12,39.2256,-123.7564
Herald,12,38.2913,-121.2318
Talmage,12,39.1314,-123.1648
Onyx,12,35.6839,-118.2102
Port Costa,12,38.0446,-122.185
WHEATLAND,12,39.0287,-121.39
Oak Glen,12,34.0448,-116.9497
POTTER VALLEY,12,39.319,-123.1123
CHERRY VALLEY,12,33.9797,-116.9694
CORCORAN,11,36.0839,-119.561
Isleton,11,38.1617,-121.6051
LITTLEROCK,11,34.5232,-117.9809
OAKVILLE,11,38.4384,-122.4067
ALTA,11,39.2138,-120.8033
KINGS BEACH,11,39.249,-120.0201
CALIFORNIA CITY,11,35.1578,-117.8721
Forest Ranch,11,39.8952,-121.6705
Knights Landing,11,38.7979,-121.7175
LAYTONVILLE,11,39.6715,-123.4945
Live Oak,11,36.986,-121.9804
LOMA MAR,11,37.2658,-122.3007
MENDOCINO,11,39.311,-123.7908
Potter Valley,11,39.319,-123.1123
Delano,11,35.767,-119.2637
GUSTINE,11,37.2545,-120.9949
PIONEER,11,38.4354,-120.5848
WEED,11,41.4128,-122.3816
GRIDLEY,11,39.3622,-121.6971
IMPERIAL,11,32.839,-115.5719
BELL GARDENS,11,33.9663,-118.155
WOODBRIDGE,11,38.1692,-121.3113
BLOOMINGTON,10,34.0601,-117.4013
ROMOLAND,10,33.7648,-117.1572
fremont,10,37.5265,-121.9852
MOKELUMNE HILL,10,38.3057,-120.7061
Bell,10,33.9801,-118.1798
Millville,10,40.5576,-122.1696
Los gatos,10,37.2303,-121.956
TRONA,10,35.815,-117.3449
SOULSBYVILLE,10,37.9917,-120.2617
Fulton,10,38.4937,-122.7734
CARUTHERS,10,36.5399,-119.845
San Miguel,10,37.8867,-122.0368
Terra Bella,10,35.9567,-119.0328
DORRINGTON,10,38.2949,-120.2706
Parlier,10,36.6087,-119.5434
OCEANO,10,35.1019,-120.609
ELVERTA,10,38.7185,-121.4455
Del mar,10,32.9633,-117.2627
Del Rey Oaks,10,36.5929,-121.8381
Soledad,10,36.4432,-121.3426
Creston,10,35.5173,-120.5211
San Andreas,10,38.1911,-120.6763
LAKE MATHEWS,9,33.825,-117.3683
DEL REY,9,36.6562,-119.5993
GREENVILLE,9,40.1336,-120.9454
Heber,9,32.7318,-115.5204
FRENCH CAMP,9,37.8802,-121.2803
MARKLEEVILLE,9,38.6841,-119.8225
Gridley,9,39.3622,-121.6971
QUINCY,9,39.931,-120.9548
OROSI,9,36.5434,-119.2903
MAYWOOD,9,33.9885,-118.1877
ALTURAS,9,41.4898,-120.5516
Graton,9,38.4376,-122.866
PHILO,9,39.0657,-123.4452
EDWARDS AFB,9,34.9045,-117.9295
WOODCREST,9,33.8789,-117.3686
Madison,9,38.675,-121.9702
LIVE OAK,9,36.986,-121.9804
CAMPO,9,32.6394,-116.4745
Boulevard,9,32.664,-116.2896
Yankee Hill,9,39.7007,-121.5147
Strathmore,9,36.1438,-119.0611
Tahoma,9,39.0633,-120.1438
Borrego Springs,9,33.241,-116.3571
FERNDALE,9,40.5799,-124.2619
Cedar Ridge,9,38.0661,-120.2737
Hopland,9,38.9691,-123.1173
CEDARVILLE,9,41.528,-120.1748
MENTONE,9,34.0609,-117.1108
Maricopa,9,35.0516,-119.4054
LAGUNA WOODS,9,33.6098,-117.7299
ROUGH AND READY,9,39.234,-121.1381
LIVINGSTON,9,37.3875,-120.7248
WATERFORD,9,37.6429,-120.7553
MOUNTAIN RANCH,9,38.2509,-120.5119
WASCO,9,35.5938,-119.3671
WILLIAMS,9,39.1498,-122.1389
Weaverville,9,40.7488,-122.9274
ESPARTO,9,38.6934,-122.0241
Garberville,8,40.1003,-123.7948
Potrero,8,32.6131,-116.6068
MORONGO VALLEY,8,34.0724,-116.5627
POINT REYES STATION,8,38.0847,-122.8093
NILAND,8,33.2387,-115.5146
West Point,8,38.4043,-120.5374
FARMINGTON,8,37.9299,-121.0043
WILLOWS,8,39.5149,-122.1995
Gonzales,8,36.506,-121.4429
Kirkwood,8,38.693,-120.064
